Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"100n","C2","C0603","C14663"
"B5819W-TP","D1","SOD3716X135N",""
"B5819W-TP","D2","SOD3716X135N",""
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"Cortex_Debug","J1","PinHeader_2x05_P1.27mm_Vertical_SMD","C448647"
"Conn_01x05_Male","J2","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_C_Receptacle_USB2.0","J3","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"Module:mega-mcu144/0.6","M1","mega-mcu144",""
"Module:power_12and5V/0.2","M2","power_12and5V",""
"Module:wbo/0.5","M3","wbo",""
"Module:ign8/0.2","M4","ign8",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"AO3400A","Q1","SOT95P280X125-3N",""
"AO3400A","Q2","SOT95P280X125-3N",""
"AO3400A","Q3","SOT95P280X125-3N",""
"VND14NV04-E","Q4","DPAK","C155647"
"VND14NV04-E","Q5","DPAK"," C155647"
"VND14NV04-E","Q6","DPAK","C155647"
"VND14NV04-E","Q7","DPAK","C155647"
"VND14NV04-E","Q8","DPAK","C155647"
"VND14NV04-E","Q9","DPAK"," C155647"
"VND14NV04-E","Q10","DPAK","C155647"
"VND14NV04-E","Q11","DPAK"," C155647"
"5.6k","R1","R0603","C23189"
"5.6k","R2","R0603","C23189"
"4.7k","R3","R0603","C23162"
"4.7k","R4","R0603","C23162"
"4.7k","R5","R0603","C23162"
"4.7k","R6","R0603","C23162"
"4.7k","R7","R0603","C23162"
"4.7k","R8","R0603","C23162"
"4.7K","R9","",""
"4.7K","R10","",""
"4.7K","R11","",""
"4.7k","R12","R0603","C23162"
"4.7k","R13","R0603","C23162"
"JDY-33","U1","JDY-33",""
"MPXH6400A","U2","MPXH6400A-SSOP8","C511770"
"PSM712-LF-T7","U5","SOT_12-LF-T7_PTD",""
"~","Z1","Z31 15 + 36",""
