"Comment","Designator","Footprint","LCSC Part #"
"100n","C1","hellen-one-common:C0603","C14663"
"100n","C2","hellen-one-common:C0603","C14663"
"B5819W-TP","D1","B5819W:SOD3716X135N",""
"B5819W-TP","D2","B5819W:SOD3716X135N",""
"B5819W","D3","hellen-one-common:SOD-123","C8598"
"B5819W","D4","hellen-one-common:SOD-123","C8598"
"Cortex_Debug","J1","hellen-one-common:PinHeader_2x05_P1.27mm_Vertical_SMD","C448647"
"Conn_01x05_Male","J2","Connector_Molex:Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_C_Receptacle_USB2.0","J3","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"Module-mega-mcu144-0.6","M1","hellen-one-mega-mcu144-0.6:mega-mcu144",""
"Module-power_12and5V-0.2","M2","0.2:power_12and5V",""
"Module-wbo-0.5","M3","0.5:wbo",""
"Module-ign8-0.2","M4","hellen-one-ign8-0.2:ign8",""
"Pad","P1","hellen-one-common:PAD-TH",""
"Pad","P2","hellen-one-common:PAD-TH",""
"Pad","P3","hellen-one-common:PAD-TH",""
"Pad","P4","hellen-one-common:PAD-TH",""
"Pad","P5","hellen-one-common:PAD-TH",""
"Pad","P6","hellen-one-common:PAD-TH",""
"Pad","P7","hellen-one-common:PAD-TH",""
"Pad","P8","hellen-one-common:PAD-TH",""
"Pad","P9","hellen-one-common:PAD-TH",""
"Pad","P10","hellen-one-common:PAD-TH",""
"AO3400A","Q1","AO3400A:SOT95P280X125-3N",""
"AO3400A","Q2","AO3400A:SOT95P280X125-3N",""
"AO3400A","Q3","AO3400A:SOT95P280X125-3N",""
"VND14NV04-E","Q4","VND14NV04-E:DPAK","C155647"
"VND14NV04-E","Q5","VND14NV04-E:DPAK"," C155647"
"VND14NV04-E","Q6","VND14NV04-E:DPAK","C155647"
"VND14NV04-E","Q7","VND14NV04-E:DPAK","C155647"
"VND14NV04-E","Q8","VND14NV04-E:DPAK","C155647"
"VND14NV04-E","Q9","VND14NV04-E:DPAK"," C155647"
"VND14NV04-E","Q10","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q11","hellen-one-common:DPAK"," C155647"
"5.6k","R1","hellen-one-common:R0603","C23189"
"5.6k","R2","hellen-one-common:R0603","C23189"
"4.7k","R3","hellen-one-common:R0603","C23162"
"4.7k","R4","hellen-one-common:R0603","C23162"
"4.7k","R5","hellen-one-common:R0603","C23162"
"4.7k","R6","hellen-one-common:R0603","C23162"
"4.7k","R7","hellen-one-common:R0603","C23162"
"4.7k","R8","hellen-one-common:R0603","C23162"
"4.7K","R9","",""
"4.7K","R10","",""
"4.7K","R11","",""
"4.7k","R12","hellen-one-common:R0603","C23162"
"4.7k","R13","hellen-one-common:R0603","C23162"
"JDY-33","U1","kicad6-libraries:JDY-33",""
"MPXH6400A","U2","hellen-one-common:MPXH6400A-SSOP8","C511770"
"PSM712-LF-T7","U5","SOT_12-LF-T7_PTD",""
"~","Z1","Z31 connector:Z31 15 + 36",""
